Got it. I’ll compile a structured, no-fluff list of all U.S. and U.S. territories' elections scheduled from now through November 3, 2026. This will include political office elections only — federal, state, local, and special — with clear tables showing date, state/territory, election type, office(s), and known candidates when available.


## June 2025 

| Date          | State/Territory | Type  | Office/Position                                             | Known Candidates                           | Notes                                          |
| ------------- | --------------- | ----- | ----------------------------------------------------------- | ------------------------------------------ | ---------------------------------------------- |
| June 7, 2025  | Texas           | Local | Dallas City Council (runoff elections)                      | (various candidates)                       | Runoff elections for multiple council seats    |
| June 7, 2025  | Texas           | Local | Fort Worth City Council District 6 (runoff)                 | TBD                                        | Runoff from May 2025 general election          |
| June 7, 2025  | Texas           | Local | Garland – Mayor (runoff)                                    | Scott LeMay vs. Roel Garcia (TBD)          | Runoff for mayor                               |
| June 7, 2025  | Texas           | Local | Irving – Mayor (runoff)                                     | TBD                                        | Runoff for mayoral election                    |
| June 7, 2025  | Texas           | Local | Richardson ISD – School Board Trustee Place 2 (runoff)      | TBD                                        | Runoff for school board seat                   |
| June 7, 2025  | Texas           | Local | San Antonio City Council (runoff elections)                 | (various candidates)                       | Runoffs for full-term and special-term seats   |
| June 10, 2025 | Alabama         | State | State House District 11 (special primary runoff)            | TBD                                        | To fill vacancy in AL House                    |
| June 10, 2025 | Arkansas        | Local | Various School Board elections (runoffs)                    | (various candidates)                       | Runoff elections for local school boards       |
| June 10, 2025 | California      | Local | Huntington Beach – City Council (special election)          | TBD                                        | Special election to fill council vacancy       |
| June 10, 2025 | California      | Local | Newport-Mesa Unified School District – Trustee Area 5       | TBD                                        | Special election to fill school board vacancy  |
| June 10, 2025 | Florida         | Local | **Various municipalities – local general elections**        | (various candidates)                       | Local city elections across Florida            |
| June 10, 2025 | Florida         | State | State House District 3 (special general)                    | Peggi Schiller (D) vs. Shane Abbott (R)    | Filled vacancy                                 |
| June 10, 2025 | Florida         | State | State House District 32 (special general)                   | Kelly Skidmore (D) vs. Bill Reicherter (R) | Filled vacancy (seat flipped)                  |
| June 10, 2025 | Florida         | State | State Senate District 19 (special general)                  | TBD                                        | Filled vacancy in FL Senate                    |
| June 10, 2025 | Massachusetts   | State | State House 3rd Bristol District (special general)          | TBD                                        | Filled vacancy in MA House                     |
| June 10, 2025 | Maine           | Local | Various local municipal elections                           | (various candidates)                       | Local elections in multiple Maine towns        |
| June 10, 2025 | Maine           | Local | School Administrative District 46 – Board Recall            | (recall candidates)                        | Recall election for school board members       |
| June 10, 2025 | New Jersey      | State | **New Jersey – Statewide Primary Election**                 | N/A                                        | Primary for Governor & legislature             |
| June 10, 2025 | New Jersey      | State | State Senate District 35 (special primary)                  | TBD                                        | Primary to fill vacant NJ Senate seat          |
| June 10, 2025 | Oklahoma        | Local | Various local municipal elections                           | (various candidates)                       | Local elections in multiple Oklahoma towns     |
| June 10, 2025 | Oklahoma        | State | State House District 71 (special general)                   | TBD                                        | Filled vacancy in OK House                     |
| June 10, 2025 | Oklahoma        | State | State House District 74 (special general)                   | TBD                                        | Filled vacancy in OK House                     |
| June 10, 2025 | Oklahoma        | State | State House District 97 (special primary)                   | TBD                                        | To fill vacancy (primary stage) in OK House    |
| June 10, 2025 | South Carolina  | Local | Various municipal elections                                 | (various candidates)                       | Local elections in multiple SC municipalities  |
| June 17, 2025 | California      | Local | Martinez Unified School District – Board seat (special)     | TBD                                        | Special election for school board seat         |
| June 17, 2025 | Georgia         | State | Public Service Commission Districts 2 & 3 (special primary) | TBD                                        | Statewide special primary (PSC seats)          |
| June 17, 2025 | South Carolina  | Local | Municipal Special General Elections                         | (various candidates)                       | Special elections in SC towns (fill vacancies) |
| June 17, 2025 | Virginia        | State | **Virginia – Statewide Primary Election**                   | N/A                                        | Primary for Governor, Lt. Gov., House          |
| June 17, 2025 | Wisconsin       | Local | Dane County Board Supervisor District 1 (special general)   | TBD                                        | Filled vacancy on county board                 |
| June 24, 2025 | Alabama         | State | State Senate District 5 (special general)                   | TBD                                        | Filled vacancy in AL Senate                    |
| June 24, 2025 | California      | State | State Assembly District 63 (special primary)                | TBD                                        | To fill vacancy in CA Assembly                 |
| June 24, 2025 | California      | Local | Bear Valley Health District – Board (special election)      | TBD                                        | Special election for healthcare district board |
| June 24, 2025 | California      | Local | San Jose City Council District 3 (runoff)                   | TBD                                        | Runoff from earlier special election           |
| June 24, 2025 | Florida         | State | State House District 40 (special primary)                   | TBD                                        | To fill vacancy in FL House                    |
| June 24, 2025 | Florida         | State | State Senate District 15 (special primary)                  | TBD                                        | To fill vacancy in FL Senate                   |
| June 24, 2025 | New Hampshire   | State | State House Strafford 12 (special general)                  | TBD                                        | Filled vacancy in NH House                     |
| June 24, 2025 | New York        | Local | Albany – Mayoral Primary Election                           | (party candidates)                         | Primary for Albany Mayor (Nov 2025 election)   |
| June 24, 2025 | New York        | Local | Bronx County – Local Primary Elections                      | (party candidates)                         | Primaries for Bronx borough offices            |
| June 24, 2025 | New York        | Local | Bronx County – Special Primary (vacant office)              | TBD                                        | Primary to fill a local vacancy (Bronx)        |
| June 24, 2025 | New York        | Local | Buffalo – Mayoral Primary Election                          | (party candidates)                         | Primary for Buffalo Mayor (Nov 2025 election)  |
| June 24, 2025 | New York        | Local | Kings County (Brooklyn) – Local Primary Elections           | (party candidates)                         | Primaries for Brooklyn borough offices         |
| June 24, 2025 | New York        | Local | Kings County – Special Primary (vacant office)              | TBD                                        | Primary to fill a local vacancy (Brooklyn)     |
